ID,USERID,PACKAGEID,REGDATE,DOMAIN,DOMAINSTATUS,NEXTDUEDATE
575274,91361,153,31/10/2018 00:00:00,,Active,31/10/2019 00:00:00
575275,91368,83,31/10/2018 00:00:00,,Active,31/10/2019 00:00:00
575276,65351,82,31/10/2018 00:00:00,,Active,31/10/2019 00:00:00
575277,88441,82,31/10/2018 00:00:00,,Cancelled,31/10/2019 00:00:00
575280,88947,153,01/11/2018 00:00:00,,Active,01/10/2019 00:00:00
575281,91373,103,01/11/2018 00:00:00,,Active,01/10/2019 00:00:00
575317,83170,168,07/11/2018 00:00:00,,Active,07/10/2019 00:00:00
575320,91451,103,07/11/2018 00:00:00,,Active,07/10/2019 00:00:00
575323,69508,82,08/11/2018 00:00:00,,Active,08/10/2019 00:00:00
575335,91462,103,08/11/2018 00:00:00,,Active,08/10/2019 00:00:00
575341,91469,82,09/11/2018 00:00:00,,Active,09/10/2019 00:00:00
576869,93621,83,01/05/2019 00:00:00,,Active,01/10/2019 00:00:00
576876,93769,103,01/05/2019 00:00:00,,Active,01/10/2019 00:00:00
576878,84158,82,02/05/2019 00:00:00,,Active,02/10/2019 00:00:00
576880,67656,163,02/05/2019 00:00:00,,Active,02/10/2019 00:00:00
576884,93155,168,02/05/2019 00:00:00,,Active,02/10/2019 00:00:00
576891,93798,104,04/05/2019 00:00:00,,Active,04/10/2019 00:00:00
576893,93799,153,04/05/2019 00:00:00,,Active,04/10/2019 00:00:00
576917,93833,83,08/05/2019 00:00:00,,Active,08/10/2019 00:00:00
576922,93808,82,09/05/2019 00:00:00,,Active,09/10/2019 00:00:00
572122,70119,82,01/10/2017 00:00:00,,Active,01/10/2019 00:00:00
572124,87195,82,01/10/2017 00:00:00,,Active,01/10/2019 00:00:00
572125,90195,82,01/10/2017 00:00:00,,Active,01/10/2019 00:00:00
572126,87205,82,02/10/2017 00:00:00,,Active,02/10/2019 00:00:00
572128,87206,82,02/10/2017 00:00:00,,Active,02/10/2019 00:00:00
572129,87207,83,02/10/2017 00:00:00,,Active,02/10/2019 00:00:00
572130,87163,82,02/10/2017 00:00:00,,Active,02/10/2019 00:00:00
572133,74540,82,02/10/2017 00:00:00,,Active,02/10/2019 00:00:00
572136,87215,82,03/10/2017 00:00:00,,Active,03/10/2019 00:00:00
572137,82433,82,03/10/2017 00:00:00,,Active,03/10/2019 00:00:00
572140,87219,82,03/10/2017 00:00:00,,Active,03/10/2019 00:00:00
572143,87223,82,03/10/2017 00:00:00,,Active,03/10/2019 00:00:00
572146,87227,82,03/10/2017 00:00:00,,Active,03/10/2019 00:00:00
572151,57842,82,03/10/2017 00:00:00,,Active,03/10/2019 00:00:00
572152,87237,82,03/10/2017 00:00:00,,Active,03/10/2019 00:00:00
572153,87238,82,03/10/2017 00:00:00,,Active,03/10/2019 00:00:00
572154,61249,55,04/10/2017 00:00:00,,Active,04/10/2019 00:00:00
572155,86901,82,04/10/2017 00:00:00,,Active,04/10/2019 00:00:00
572159,87244,82,04/10/2017 00:00:00,,Active,04/10/2019 00:00:00
572164,87248,82,04/10/2017 00:00:00,,Active,04/10/2019 00:00:00
572167,87257,104,05/10/2017 00:00:00,,Active,05/10/2019 00:00:00
572168,87260,104,05/10/2017 00:00:00,,Active,05/10/2019 00:00:00
572169,87261,82,05/10/2017 00:00:00,,Cancelled,05/10/2019 00:00:00
572171,87265,83,05/10/2017 00:00:00,,Active,05/10/2019 00:00:00
572172,87266,153,05/10/2017 00:00:00,,Active,05/10/2019 00:00:00
572173,87252,82,05/10/2017 00:00:00,,Active,05/10/2019 00:00:00
572174,87069,82,05/10/2017 00:00:00,,Active,05/10/2019 00:00:00
572176,86793,82,06/10/2017 00:00:00,,Active,06/10/2019 00:00:00
572177,58808,82,06/10/2017 00:00:00,,Active,06/10/2019 00:00:00
572178,87275,82,06/10/2017 00:00:00,,Active,06/10/2019 00:00:00
572183,79972,82,07/10/2017 00:00:00,,Active,07/10/2019 00:00:00
572185,87281,104,07/10/2017 00:00:00,,Active,31/10/2019 00:00:00
572188,87286,82,08/10/2017 00:00:00,,Active,08/10/2019 00:00:00
572192,87294,153,09/10/2017 00:00:00,,Active,09/10/2019 00:00:00
572193,74116,153,09/10/2017 00:00:00,,Active,09/10/2019 00:00:00
572196,87301,82,09/10/2017 00:00:00,,Active,09/10/2019 00:00:00
572197,87283,84,09/10/2017 00:00:00,,Active,09/10/2019 00:00:00
572199,85219,82,09/10/2017 00:00:00,,Active,09/10/2019 00:00:00
572202,65556,82,09/10/2017 00:00:00,,Active,09/10/2019 00:00:00
572204,87312,82,10/10/2017 00:00:00,,Active,10/10/2019 00:00:00
572205,82606,104,10/10/2017 00:00:00,,Active,10/10/2019 00:00:00
572206,87313,82,10/10/2017 00:00:00,,Active,10/10/2019 00:00:00
573747,84767,163,08/04/2018 00:00:00,,Active,08/10/2019 00:00:00
573752,89337,84,09/04/2018 00:00:00,,Active,09/10/2019 00:00:00
573756,89257,103,09/04/2018 00:00:00,,Active,09/10/2019 00:00:00
573757,88771,84,09/04/2018 00:00:00,,Active,09/10/2019 00:00:00
573763,89306,104,10/04/2018 00:00:00,,Suspended,10/10/2019 00:00:00
573765,57865,145,10/04/2018 00:00:00,,Active,10/10/2019 00:00:00
573789,90785,164,13/04/2018 00:00:00,,Active,13/10/2019 00:00:00
573825,89428,82,17/04/2018 00:00:00,,Active,17/10/2019 00:00:00
575355,91482,104,10/11/2018 00:00:00,,Active,10/10/2019 00:00:00
575357,91153,168,10/11/2018 00:00:00,,Active,10/10/2019 00:00:00
575360,91484,168,10/11/2018 00:00:00,,Active,10/10/2019 00:00:00
575369,89390,153,13/11/2018 00:00:00,,Active,13/10/2019 00:00:00
575370,77444,82,13/11/2018 00:00:00,,Active,13/10/2019 00:00:00
575393,91540,153,15/11/2018 00:00:00,,Active,15/10/2019 00:00:00
575416,91497,168,20/11/2018 00:00:00,,Active,20/10/2019 00:00:00
575425,70966,82,21/11/2018 00:00:00,,Active,21/10/2019 00:00:00
575432,86221,82,22/11/2018 00:00:00,,Active,22/10/2019 00:00:00
575433,86221,82,22/11/2018 00:00:00,,Active,22/10/2019 00:00:00
576966,93912,82,15/05/2019 00:00:00,,Active,15/10/2019 00:00:00
576968,83357,82,15/05/2019 00:00:00,,Active,15/10/2019 00:00:00
576970,93919,103,15/05/2019 00:00:00,,Active,15/10/2019 00:00:00
576971,93732,153,15/05/2019 00:00:00,,Active,15/10/2019 00:00:00
576979,86723,165,16/05/2019 00:00:00,,Active,16/10/2019 00:00:00
576988,93953,168,16/05/2019 00:00:00,,Active,16/10/2019 00:00:00
577001,93970,104,19/05/2019 00:00:00,,Active,19/10/2019 00:00:00
577002,89016,82,19/05/2019 00:00:00,,Active,19/10/2019 00:00:00
577011,91486,104,20/05/2019 00:00:00,,Active,20/10/2019 00:00:00
577012,90149,82,20/05/2019 00:00:00,,Active,20/10/2019 00:00:00
577015,59722,82,20/05/2019 00:00:00,,Active,20/10/2019 00:00:00
577016,88991,153,20/05/2019 00:00:00,,Active,20/10/2019 00:00:00
577018,69183,82,20/05/2019 00:00:00,,Active,20/10/2019 00:00:00
577020,92958,103,20/05/2019 00:00:00,,Active,20/10/2019 00:00:00
577021,93988,153,21/05/2019 00:00:00,,Active,21/10/2019 00:00:00
577023,93991,83,21/05/2019 00:00:00,,Active,21/10/2019 00:00:00
577026,93997,153,21/05/2019 00:00:00,,Active,21/10/2019 00:00:00
577031,94006,82,21/05/2019 00:00:00,,Active,21/10/2019 00:00:00
577034,94010,82,22/05/2019 00:00:00,,Active,22/10/2019 00:00:00
577035,94013,82,22/05/2019 00:00:00,,Active,22/10/2019 00:00:00
577038,90545,153,22/05/2019 00:00:00,,Active,22/10/2019 00:00:00
577039,93687,82,22/05/2019 00:00:00,,Active,22/10/2019 00:00:00
577043,91316,82,23/05/2019 00:00:00,,Active,23/10/2019 00:00:00
577044,76071,104,23/05/2019 00:00:00,,Active,23/10/2019 00:00:00
572220,58478,31,11/10/2017 00:00:00,,Active,11/10/2019 00:00:00
572226,87210,82,11/10/2017 00:00:00,,Active,11/10/2019 00:00:00
572228,87326,82,11/10/2017 00:00:00,,Active,11/10/2019 00:00:00
572229,87327,82,11/10/2017 00:00:00,,Active,11/10/2019 00:00:00
572230,85357,82,11/10/2017 00:00:00,,Active,11/10/2019 00:00:00
572233,87333,82,12/10/2017 00:00:00,,Active,12/10/2019 00:00:00
572238,87342,83,12/10/2017 00:00:00,,Cancelled,12/10/2019 00:00:00
572240,87345,82,12/10/2017 00:00:00,,Active,12/10/2019 00:00:00
