INVOICEID,USERID,TYPE,RELID,DESCRIPTION,AMOUNT,DUEDATE,INVOICE_LABEL
1160990,87045,Hosting,573492,Cloud Lite Plus,6.54,09/11/2018 00:00:00,
1160910,70546,Hosting,562441,Level 1 Dedicated Server,2.02,01/11/2018 00:00:00,
1160911,57897,Hosting,560889,Cloud Lite Plus,4.59,02/11/2018 00:00:00,
1160993,83222,Hosting,570267,Wordpress Developer,59.99,09/11/2018 00:00:00,
1161014,62201,Domain,30939,Domain Renewal,24.95,09/11/2018 00:00:00,
1160980,90187,Hosting,574427,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1159961,60610,Hosting,573971,Cloud VPS Option 2 PCS,9.54,03/11/2018 00:00:00,
1159964,66566,Hosting,556344,Cloud Lite Plus,4.59,03/11/2018 00:00:00,
1159966,66384,Hosting,556186,Level 1 Dedicated Server,1.25,03/11/2018 00:00:00,
1159969,89287,Hosting,573710,Website Builder,9.95,03/11/2018 00:00:00,
1160016,91082,DomainRegister,114983,Domain Registration,9.95,04/10/2018 00:00:00,
1160016,91082,DomainRegister,114982,Domain Registration,14.95,04/10/2018 00:00:00,
1160017,90796,DomainRegister,114984,Domain Registration,1.49,04/10/2018 00:00:00,
1160023,71832,DomainRegister,114986,Domain Registration,9.95,04/10/2018 00:00:00,
1160023,71832,DomainRegister,114987,Domain Registration,14.95,04/10/2018 00:00:00,
1160025,77074,DomainRegister,114989,Domain Registration,14.95,04/10/2018 00:00:00,
1160025,77074,DomainRegister,114988,Domain Registration,14.95,04/10/2018 00:00:00,
1160026,91083,Hosting,575065,Wordpress Hosting,79.95,04/10/2018 00:00:00,
1160026,91083,DomainRegister,114990,Domain Registration,14.95,04/10/2018 00:00:00,
1160027,91073,DomainTransfer,114991,Domain Transfer,9.95,04/10/2018 00:00:00,
1160028,76595,DomainRegister,114993,Domain Registration,14.95,04/10/2018 00:00:00,
1160028,76595,DomainRegister,114992,Domain Registration,14.95,04/10/2018 00:00:00,
1160029,91084,Hosting,575066,Cloud Lite Plus,49.95,04/10/2018 00:00:00,
1160029,91084,DomainRegister,114998,Domain Registration,14.94,04/10/2018 00:00:00,
1160029,91084,PromoDomain,114998,Promotional Code: 10OFFDOMAINS,-1.49,04/10/2018 00:00:00,
1160029,91084,DomainRegister,114994,Domain Registration,9.94,04/10/2018 00:00:00,
1160029,91084,PromoDomain,114994,Promotional Code: 10OFFDOMAINS,-0.99,04/10/2018 00:00:00,
1160031,91085,DomainRegister,114999,Domain Registration,14.95,04/10/2018 00:00:00,
1160032,91086,DomainRegister,115001,Domain Registration,7.95,04/10/2018 00:00:00,
1160032,91086,DomainRegister,115000,Domain Registration,14.95,04/10/2018 00:00:00,
1160033,91087,Hosting,575068,Cloud Lite Plus,6.99,04/10/2018 00:00:00,
1160033,91087,DomainRegister,115002,Domain Registration,14.95,04/10/2018 00:00:00,
1160033,91087,DomainRegister,115003,Domain Registration,14.95,04/10/2018 00:00:00,
1160035,68963,DomainRegister,115005,Domain Registration,9.95,04/10/2018 00:00:00,
1160038,62367,DomainRegister,115007,Domain Registration,14.95,04/10/2018 00:00:00,
1160041,91088,Hosting,575069,Cloud Lite Plus,6.99,04/10/2018 00:00:00,
1160044,91090,DomainRegister,115010,Domain Registration,14.95,04/10/2018 00:00:00,
1160047,85357,DomainRegister,115012,Domain Registration,9.95,04/10/2018 00:00:00,
1160048,90104,DomainRegister,115013,Domain Registration,9.95,04/10/2018 00:00:00,
1160049,91092,Hosting,575070,Cloud Business Plus,11.99,04/10/2018 00:00:00,
1160049,91092,DomainRegister,115014,Domain Registration,14.95,04/10/2018 00:00:00,
1160050,86668,Hosting,575071,Cloud Lite Plus,49.95,04/10/2018 00:00:00,
1160051,80397,DomainRegister,115015,Domain Registration,14.95,04/10/2018 00:00:00,
1160052,91093,DomainRegister,115016,Domain Registration,14.95,04/10/2018 00:00:00,
1160053,90935,Hosting,575072,Wordpress Hosting,79.95,04/10/2018 00:00:00,
1160055,91095,DomainRegister,115019,Domain Registration,1.49,05/10/2018 00:00:00,
1160055,91095,DomainRegister,115018,Domain Registration,14.95,05/10/2018 00:00:00,
1160056,71070,Domain,70486,Domain Renewal,12.95,05/10/2018 00:00:00,
1160057,91096,DomainRegister,115020,Domain Registration,14.95,05/10/2018 00:00:00,
1160058,89929,DomainRegister,115022,Domain Registration,7.95,05/10/2018 00:00:00,
1160058,89929,DomainRegister,115023,Domain Registration,4.95,05/10/2018 00:00:00,
1160058,89929,DomainRegister,115021,Domain Registration,14.95,05/10/2018 00:00:00,
1160059,91097,Domain,76971,Domain Renewal,24.95,08/10/2018 00:00:00,
1160060,91098,Hosting,575073,Positive SSL Certificate (05/10/2018,29.95,05/10/2018 00:00:00,
1160061,66868,Domain,86557,Domain Renewal,24.95,05/10/2018 00:00:00,
1160061,66868,Domain,64726,Domain Renewal,24.95,05/10/2018 00:00:00,
1160079,87905,Hosting,572659,Level 1 Dedicated Server (04/11/2018,3.07,04/11/2018 00:00:00,
1160083,88568,Hosting,573164,Website Builder,7.95,04/11/2018 00:00:00,
1160086,79559,Hosting,569552,Website Builder,9.95,04/11/2018 00:00:00,
1160091,68472,Hosting,558202,Cloud Business Plus,7.99,04/11/2018 00:00:00,
1160077,82406,Hosting,568581,Cloud Business Plus,9.95,04/11/2018 00:00:00,
1160093,59702,Hosting,554668,Cloud VPS Option 3 PCS,13.84,04/11/2018 00:00:00,
1160064,66373,Hosting,556546,Level 1 Dedicated Server,21.99,02/11/2018 00:00:00,
1160097,68722,Hosting,564258,Cloud Business Plus,7.99,04/11/2018 00:00:00,
1160098,63439,Hosting,552898,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160102,75163,Hosting,572847,Website Builder,2.95,04/11/2018 00:00:00,
1160103,83708,Hosting,569560,Cloud Lite Plus,6.54,04/11/2018 00:00:00,
1160105,78417,Hosting,565781,Cloud VPS Option 1 PCS,52.45,04/11/2018 00:00:00,
1160063,89242,Hosting,573682,Wordpress Hosting,7.94,30/10/2018 00:00:00,
1160108,89600,Hosting,573973,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160109,79968,Hosting,569344,Wordpress Hosting,5.99,04/11/2018 00:00:00,
1160114,78058,Hosting,565525,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160118,83066,Hosting,569100,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160120,72326,Hosting,561382,Cloud Business Plus,7.99,04/11/2018 00:00:00,
1160121,70206,Hosting,559789,Cloud Ultima,26.95,04/11/2018 00:00:00,
1160124,62225,Hosting,30770,Cloud Business Plus,7.99,04/11/2018 00:00:00,
1160128,84629,Hosting,570211,Cloud Lite Plus,6.54,04/11/2018 00:00:00,
1160129,79157,Hosting,566290,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160130,90745,Hosting,574827,Website Builder,2.95,04/11/2018 00:00:00,
1160132,85084,Hosting,570572,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160065,72370,Hosting,570807,Cloud Lite Plus,4.59,02/11/2018 00:00:00,
1160138,86884,Hosting,571855,Website Builder,1.69,04/11/2018 00:00:00,
1160139,81023,Hosting,568813,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160144,90750,Hosting,574834,Wordpress Hosting,0.99,04/11/2018 00:00:00,
1160146,83656,Hosting,569558,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160148,68920,Hosting,570563,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160102,75163,Hosting,572853,Website Builder,2.95,04/11/2018 00:00:00,
1160200,91099,DomainRegister,115024,Domain Registration,14.95,05/10/2018 00:00:00,
1160205,82478,Domain,94223,Domain Renewal,24.95,05/10/2018 00:00:00,
1160206,57847,Hosting_renewedearly,575074,Positive SSL Certificate (05/10/2018,29.95,05/10/2018 00:00:00,
1160212,91095,DomainRegister,115026,Domain Registration,14.95,05/10/2018 00:00:00,
1160213,91100,Setup,575075,,9.95,05/10/2018 00:00:00,
1160213,91100,Hosting,575075,Cloud Business Plus,1.19,05/10/2018 00:00:00,
1160214,66868,DomainRegister,115027,Domain Registration,14.95,05/10/2018 00:00:00,
1160218,57847,Hosting_renewedearly,575077,Wildcard Comodo SSL Certificate (05/10/2018,3.9,05/10/2018 00:00:00,
1160220,91101,Hosting,575079,Cloud Lite Plus,6.99,05/10/2018 00:00:00,
1160222,90274,DomainRegister,115029,Domain Registration,14.95,05/10/2018 00:00:00,
1160223,91102,DomainRegister,115030,Domain Registration,14.95,05/10/2018 00:00:00,
1160224,91103,DomainRegister,115031,Domain Registration,14.95,05/10/2018 00:00:00,
1160225,72116,DomainRegister,115032,Domain Registration,1.95,05/10/2018 00:00:00,
1160229,91105,DomainRegister,115035,Domain Registration,14.95,05/10/2018 00:00:00,
1160230,65776,DomainRegister,115036,Domain Registration,9.95,05/10/2018 00:00:00,
1160231,82336,DomainRegister,115038,Domain Registration,4.95,05/10/2018 00:00:00,
1160231,82336,DomainRegister,115037,Domain Registration,14.95,05/10/2018 00:00:00,
1160232,90952,Hosting,575082,Website Builder,29.95,05/10/2018 00:00:00,
1160233,91106,DomainRegister,115040,Domain Registration,14.95,05/10/2018 00:00:00,
1160233,91106,DomainRegister,115039,Domain Registration,14.95,05/10/2018 00:00:00,
1160233,91106,DomainRegister,115042,Domain Registration,14.95,05/10/2018 00:00:00,
1160233,91106,DomainRegister,115041,Domain Registration,14.95,05/10/2018 00:00:00,
1160234,91107,DomainRegister,115043,Domain Registration,14.95,05/10/2018 00:00:00,
1160235,87278,Domain,105066,Domain Renewal,12.95,06/10/2018 00:00:00,
1160236,66625,DomainRegister,115045,Domain Registration,14.95,06/10/2018 00:00:00,
1160236,66625,DomainRegister,115046,Domain Registration,14.95,06/10/2018 00:00:00,
1160236,66625,DomainRegister,115044,Domain Registration,14.95,06/10/2018 00:00:00,
1160237,90943,Hosting,575083,Wordpress Hosting,79.95,06/10/2018 00:00:00,
1160239,63117,DomainRegister,115049,Domain Registration,1.49,06/10/2018 00:00:00,
1160239,63117,DomainRegister,115048,Domain Registration,14.95,06/10/2018 00:00:00,
1160239,63117,DomainRegister,115047,Domain Registration,14.95,06/10/2018 00:00:00,
1160247,67356,Hosting,557386,Cloud Lite Plus,4.59,01/11/2018 00:00:00,
1160270,78761,Hosting,566042,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160271,83640,Hosting,571865,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160276,81053,Hosting,573173,Cloud Lite Plus,6.54,05/11/2018 00:00:00,
1160282,74707,Hosting,564270,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160285,72628,Hosting,561622,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160286,74555,Hosting,563663,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160287,66957,Hosting,565533,Cloud VPS Option 3 PCS,135.95,05/11/2018 00:00:00,
1160290,87069,Hosting,572174,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160292,62747,Hosting,26191,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160294,83442,Hosting,569348,Cloud Business Plus,9.94,05/11/2018 00:00:00,
1160296,80810,Hosting,568826,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160297,69572,Hosting,564782,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160300,63949,Hosting,553553,Level 1 Dedicated Server,3.6,05/11/2018 00:00:00,
1160250,88537,Hosting,573160,Cloud Lite Plus,6.54,02/11/2018 00:00:00,
1160307,87252,Hosting,572173,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160265,91100,Hosting,575075,Cloud Business Plus,9.95,05/11/2018 00:00:00,
1160266,85482,Hosting,570846,Enterprise,39.95,05/11/2018 00:00:00,
1160315,68920,Hosting,558586,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160316,76179,Hosting,564260,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160267,71509,Hosting,570588,Enterprise,39.95,05/11/2018 00:00:00,
1160300,63949,Hosting,568591,Hype,0,05/11/2018 00:00:00,
1160318,64955,Hosting,567668,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160319,80831,Hosting,567467,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160320,86543,Hosting,571579,Enterprise,49.95,05/11/2018 00:00:00,
1160321,89309,Hosting,573725,Cloud Lite Plus,6.54,05/11/2018 00:00:00,
1160324,71816,Hosting,565058,Cloud VPS Option 2 PCS,78.95,05/11/2018 00:00:00,
1160326,89579,Hosting,574405,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160328,60336,Hosting,555378,Cloud Ultima,14.95,05/11/2018 00:00:00,
1160329,60635,Hosting,44845,Reseller Lite,0.5,05/11/2018 00:00:00,
1160268,80483,Hosting,567230,Cloud Ultima,16.95,05/11/2018 00:00:00,
1160332,66216,Hosting,555994,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160334,87921,Hosting,572668,Website Builder,7.95,05/11/2018 00:00:00,
1160240,83301,Hosting,569240,Website Builder,9.95,22/10/2018 00:00:00,
1160344,60649,Domain,44770,Domain Renewal,24.95,05/11/2018 00:00:00,
1160404,91108,Hosting,575084,Wordpress Hosting,9.99,06/10/2018 00:00:00,
1160404,91108,DomainRegister,115051,Domain Registration,14.95,06/10/2018 00:00:00,
1160404,91108,DomainRegister,115052,Domain Registration,14.95,06/10/2018 00:00:00,
1160405,86750,DomainRegister,115053,Domain Registration,14.95,06/10/2018 00:00:00,
1160406,72323,Domain,94944,Domain Renewal,24.95,06/10/2018 00:00:00,
1160407,91109,DomainRegister,115054,Domain Registration,9.95,06/10/2018 00:00:00,
1160409,74230,DomainRegister,115055,Domain Registration,9.95,06/10/2018 00:00:00,
1160409,74230,DomainRegister,115056,Domain Registration,9.95,06/10/2018 00:00:00,
1160410,91110,DomainRegister,115057,Domain Registration,14.95,06/10/2018 00:00:00,
1160411,90606,DomainRegister,115058,Domain Registration,14.95,06/10/2018 00:00:00,
1160412,68963,DomainRegister,115059,Domain Registration,49.95,06/10/2018 00:00:00,
1160413,87335,Domain,105208,Domain Renewal,24.95,06/10/2018 00:00:00,
1160414,87335,Hosting,575085,Website Builder,29.95,07/10/2018 00:00:00,
1160414,87335,DomainRegister,115060,Domain Registration,14.95,07/10/2018 00:00:00,
1160424,58448,Hosting,558042,Cloud Lite Plus,3.99,06/11/2018 00:00:00,
1160426,73225,Hosting,562054,Cloud Lite Plus,4.59,06/11/2018 00:00:00,
1160428,77212,Hosting,571889,Cloud Lite Plus,6.54,06/11/2018 00:00:00,
1160434,88940,Hosting,573463,Cloud Lite Plus,6.54,06/11/2018 00:00:00,
1160435,70414,Hosting,569901,Cloud Lite Plus,6.54,06/11/2018 00:00:00,
1160437,66499,Hosting,556287,Cloud Business Plus,7.99,06/11/2018 00:00:00,
1160438,75803,Hosting,563989,Cloud Lite Plus,4.59,06/11/2018 00:00:00,
1160441,74687,Hosting,564528,Cloud Business Plus,7.99,06/11/2018 00:00:00,
1160442,84663,Hosting,570236,Website Builder,14.95,06/11/2018 00:00:00,
1160446,90452,Hosting,574623,Website Builder,9.95,06/11/2018 00:00:00,
1160449,61178,Hosting,28267,Cloud Lite Plus,4.59,06/11/2018 00:00:00,
1160453,78381,Hosting,565791,Cloud Ultima,1.79,06/11/2018 00:00:00,
1160456,86924,Hosting,571891,Wordpress Hosting,5.99,06/11/2018 00:00:00,
1160458,86237,Hosting,571366,Cloud Lite Plus,4.59,06/11/2018 00:00:00,
1160459,87581,Hosting,572416,Website Builder,12.95,06/11/2018 00:00:00,
1160461,85888,Hosting,571143,Cloud Lite Plus,4.59,06/11/2018 00:00:00,
1160462,82760,Hosting,568842,Website Builder,12.95,06/11/2018 00:00:00,
1160464,59807,Hosting,555149,Cloud VPS Option 1 PCS,55.45,06/11/2018 00:00:00,
1160465,58329,Hosting,561313,Cloud VPS Option 2 PCS,5.49,06/11/2018 00:00:00,
1160466,83447,Hosting,569353,Cloud VPS Option 1 PCS,3.49,06/11/2018 00:00:00,
1160416,65711,Hosting,563978,Cloud VPS Option 1 PCS,45.45,05/11/2018 00:00:00,
1160468,88939,Hosting,573462,Website Builder,12.95,06/11/2018 00:00:00,
1160470,65282,Hosting,555015,Cloud Business Plus,7.99,06/11/2018 00:00:00,
1160471,69242,Hosting,569912,Cloud Lite Plus,4.59,06/11/2018 00:00:00,
1160483,60658,Domain,44725,Domain Renewal,24.95,06/11/2018 00:00:00,
1160523,88744,Hosting,575087,Website Builder,29.95,07/10/2018 00:00:00,
1160524,71433,DomainRegister,115061,Domain Registration,14.95,07/10/2018 00:00:00,
1160526,89911,DomainRegister,115062,Domain Registration,14.95,07/10/2018 00:00:00,
1160527,91111,DomainRegister,115063,Domain Registration,9.95,07/10/2018 00:00:00,
1160527,91111,DomainRegister,115064,Domain Registration,9.95,07/10/2018 00:00:00,
1160528,78952,Domain,86598,Domain Renewal,12.95,07/10/2018 00:00:00,
1160530,88534,Hosting,575090,Wordpress Hosting,79.95,07/10/2018 00:00:00,
1160532,91112,Hosting,575091,Cloud Lite Plus,49.95,07/10/2018 00:00:00,
1160532,91112,DomainRegister,115065,Domain Registration,9.95,07/10/2018 00:00:00,
1160533,74540,DomainRegister,115066,Domain Registration,14.95,08/10/2018 00:00:00,
1160534,91113,DomainRegister,115067,Domain Registration,14.95,08/10/2018 00:00:00,
1160536,87688,DomainTransfer,115068,Domain Transfer,9.95,08/10/2018 00:00:00,
1160537,87688,DomainTransfer,115069,Domain Transfer,9.95,08/10/2018 00:00:00,
1160541,62505,DomainRegister,115071,Domain Registration,14.95,08/10/2018 00:00:00,
1160568,82288,Hosting,569927,Cloud Business Plus,7.99,07/11/2018 00:00:00,
1160570,83097,Hosting,569114,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160571,58085,Hosting,569386,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160575,86250,Hosting,571373,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160576,83105,Hosting,569121,Cloud Business Plus,9.94,07/11/2018 00:00:00,
1160577,90463,Hosting,574631,Wordpress Hosting,7.95,07/11/2018 00:00:00,
1160557,57865,Hosting,561348,Level 1 Dedicated Server,2.58,07/11/2018 00:00:00,
1160579,78433,Hosting,565793,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160580,69646,Hosting,559238,Cloud VPS Custom PCS,5.19,07/11/2018 00:00:00,
1160581,70075,Hosting,559655,Cloud VPS Option 4 PCS,22.84,07/11/2018 00:00:00,
1150010,60732,Hosting,44104,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150012,59036,Hosting,569532,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1149971,59518,Hosting,35974,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150014,87526,Hosting,572378,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150016,75627,Hosting,564214,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150017,69797,Hosting,566505,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150018,89865,Hosting,574173,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150019,66024,Hosting,555798,Cloud Business Plus,7.99,01/09/2018 00:00:00,
1150022,87195,Hosting,572124,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150023,83382,Hosting,569300,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150025,82356,Hosting,568539,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150026,84437,Hosting,571321,Wordpress Hosting,13.34,01/09/2018 00:00:00,
1150027,71920,Hosting,561098,Cloud Business Plus,7.99,01/09/2018 00:00:00,
1150029,70119,Hosting,572122,Cloud Lite Plus,6.54,01/09/2018 00:00:00,
1150036,61491,Hosting,37659,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150040,62445,Hosting,554806,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150042,85037,Hosting,570531,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1150044,66868,Hosting,556775,Cloud Business Plus,7.99,01/09/2018 00:00:00,
1150047,77609,Hosting,565229,Cloud Lite Plus,4.59,01/09/2018 00:00:00,
1160874,91125,Hosting,575101,Website Builder,0.99,09/10/2018 00:00:00,
1160874,91125,DomainRegister,115107,Domain Registration,0,09/10/2018 00:00:00,
1160875,74646,DomainRegister,115108,Domain Registration,17.95,09/10/2018 00:00:00,
1160876,91126,DomainRegister,115110,Domain Registration,7.95,09/10/2018 00:00:00,
1160876,91126,DomainRegister,115109,Domain Registration,14.95,09/10/2018 00:00:00,
1160877,91126,DomainRegister,115111,Domain Registration,9.95,09/10/2018 00:00:00,
1160878,91127,DomainRegister,115112,Domain Registration,9.94,09/10/2018 00:00:00,
1160878,91127,PromoDomain,115112,Promotional Code: 10OFFDOMAINS,-0.99,09/10/2018 00:00:00,
1160878,91127,DomainRegister,115113,Domain Registration,14.94,09/10/2018 00:00:00,
1160878,91127,PromoDomain,115113,Promotional Code: 10OFFDOMAINS,-1.49,09/10/2018 00:00:00,
1160881,79654,DomainTransfer,115115,Domain Transfer,9.95,09/10/2018 00:00:00,
1160882,91127,Setup,575102,,4.95,09/10/2018 00:00:00,
1160882,91127,Hosting,575102,Cloud Lite Plus,4.95,09/10/2018 00:00:00,
1160883,91129,Hosting,575103,Cloud Lite Plus,49.95,09/10/2018 00:00:00,
1160886,88710,DomainRegister,115118,Domain Registration,9.95,09/10/2018 00:00:00,
1160887,80125,DomainRegister,115119,Domain Registration,9.95,09/10/2018 00:00:00,
1160892,91131,DomainRegister,115120,Domain Registration,14.95,09/10/2018 00:00:00,
1160893,79641,Hosting,575104,Cloud Lite Plus,49.95,09/10/2018 00:00:00,
1160894,91132,Hosting,575105,Wordpress Hosting,79.95,09/10/2018 00:00:00,
1160894,91132,DomainRegister,115122,Domain Registration,14.94,09/10/2018 00:00:00,
1160894,91132,PromoDomain,115122,Promotional Code: 10OFFDOMAINS,-1.49,09/10/2018 00:00:00,
1160900,78799,DomainRegister,115124,Domain Registration,1.49,10/10/2018 00:00:00,
1160902,67476,DomainRegister_renewedearly,115125,Domain Registration,9.94,10/10/2018 00:00:00,
1160902,67476,PromoDomain_renewedearly,115125,Promotional Code: 10OFFDOMAINS,-0.99,10/10/2018 00:00:00,
1160903,91134,DomainRegister,115126,Domain Registration,14.95,10/10/2018 00:00:00,
1160905,91135,Hosting,575108,Cloud Lite Plus,49.95,10/10/2018 00:00:00,
1160905,91135,DomainRegister,115127,Domain Registration,14.95,10/10/2018 00:00:00,
1160906,91136,DomainRegister,115128,Domain Registration,14.95,10/10/2018 00:00:00,
1160925,83630,Hosting,571918,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1160927,89257,Hosting,573756,Website Builder,12.95,09/11/2018 00:00:00,
1160928,65416,Hosting,555171,Cloud Business Plus,7.99,09/11/2018 00:00:00,
1160929,62635,Hosting,552757,Cloud Business Plus,7.99,09/11/2018 00:00:00,
1160931,85530,Hosting,570875,Website Builder,9.95,09/11/2018 00:00:00,
1160932,91127,Hosting,575102,Cloud Lite Plus,4.95,09/11/2018 00:00:00,
1160933,85146,Hosting,570624,Website Builder,7.95,09/11/2018 00:00:00,
1160934,80532,Hosting,567258,Website Builder,7.95,09/11/2018 00:00:00,
1160935,89337,Hosting,573752,Cloud Ultima,1.69,09/11/2018 00:00:00,
1160922,90177,Hosting,574421,Enterprise,49.95,09/11/2018 00:00:00,
1160923,63117,Hosting,572442,Enterprise,39.95,09/11/2018 00:00:00,
1160939,67403,Hosting,560442,Cloud VPS Option 3 PCS,128.45,09/11/2018 00:00:00,
1160941,87716,Hosting,573490,Wordpress Hosting,7.99,09/11/2018 00:00:00,
1160943,62858,Hosting,25032,Cloud Business Plus,7.99,09/11/2018 00:00:00,
1160949,86090,Hosting,572441,Wordpress Hosting,7.94,09/11/2018 00:00:00,
1160952,82641,Hosting,568861,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1160919,53979,Hosting,2478,Legacy GLX Beginner Reseller,1.56,09/11/2018 00:00:00,
1160957,84668,Hosting,570874,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1160958,59614,Hosting,554528,Cloud Business Plus,7.99,09/11/2018 00:00:00,
1160960,91123,Hosting,575100,Cloud Lite Plus,0.69,09/11/2018 00:00:00,
1160963,69771,Hosting,565330,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1160964,89651,Hosting,574013,Website Builder,12.95,09/11/2018 00:00:00,
1160968,58248,Hosting,54423,Windows Lite,7.95,09/11/2018 00:00:00,
1160969,84271,Hosting,569958,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1160970,88771,Hosting,573757,Cloud Ultima,1.69,09/11/2018 00:00:00,
1160909,86165,Hosting,571325,Website Builder,1.19,01/11/2018 00:00:00,
1160973,71398,Hosting,569392,Level 1 Dedicated Server,30.34,09/11/2018 00:00:00,
1160975,85059,Hosting,571387,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1160981,90489,Hosting,574648,Wordpress Hosting,7.95,09/11/2018 00:00:00,
1160984,61678,Hosting,36680,Windows Lite,4.95,09/11/2018 00:00:00,
1160989,70282,Hosting,573487,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1160582,59492,Hosting,560968,Cloud VPS Option 3 PCS,181.35,07/11/2018 00:00:00,
1160584,72165,Hosting,570863,Cloud Business Plus,9.94,07/11/2018 00:00:00,
1160585,88755,Hosting,573994,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160586,65024,Hosting,554683,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160589,85134,Hosting,570616,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160548,60431,Hosting,558832,Reseller Lite,0.5,04/11/2018 00:00:00,
1160549,58964,Hosting,562510,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160549,58964,PromoHosting,562510,Promotional Code: ,-0.02,05/11/2018 00:00:00,
1160554,72474,Hosting,566558,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160550,82430,Hosting,568596,Wordpress Hosting,7.99,06/11/2018 00:00:00,
1160595,69169,Hosting,571620,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160598,82381,Hosting,568603,Website Builder,9.95,07/11/2018 00:00:00,
1160599,90459,Hosting,574630,Website Builder,2.95,07/11/2018 00:00:00,
1160601,62792,Hosting,556014,Cloud Business Plus,7.99,07/11/2018 00:00:00,
1160605,82454,Hosting,568612,Wordpress Hosting,10.94,07/11/2018 00:00:00,
1160607,78870,Hosting,569113,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160557,57865,Hosting,561334,Level 1 Dedicated Server,2.8,07/11/2018 00:00:00,
1160557,57865,Hosting,561333,Level 1 Dedicated Server,3.95,07/11/2018 00:00:00,
1160557,57865,Hosting,561660,Hype,0,07/11/2018 00:00:00,
1160609,82441,Hosting,568605,Cloud Lite Plus,6.54,07/11/2018 00:00:00,
1160610,84675,Hosting,570245,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160565,61096,Hosting,572685,Enterprise,49.95,07/11/2018 00:00:00,
1160611,79209,Hosting,566319,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160612,85892,Hosting,571145,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160617,81178,Hosting,569917,Cloud Lite Plus,4.59,07/11/2018 00:00:00,
1160619,82451,Hosting,568609,Website Builder,9.95,07/11/2018 00:00:00,
1160620,58124,Hosting,555604,Level 1 Dedicated Server,3.2,07/11/2018 00:00:00,
1160562,58773,Hosting,563289,Cloud VPS Option 1 PCS,6.38,07/11/2018 00:00:00,
1167404,87405,Domain,105385,Domain Renewal,12.95,21/10/2018 00:00:00,
