ID,USERID,TYPE,REGISTRATIONDATE,DOMAIN,STATUS,NEXTDUEDATE
105488,87451,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105489,87452,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105492,87242,Transfer,23/10/2017 00:00:00,,Active,14/10/2019 00:00:00
105493,81201,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105495,86998,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105501,80932,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105502,86795,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105503,60036,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105504,87455,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105505,82088,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105506,82088,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105510,87459,Transfer,23/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105511,87460,Register,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
105513,87462,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105515,87463,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105516,84995,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105517,87464,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105518,80501,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105520,69751,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105522,87466,Register,24/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105524,77511,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105527,72013,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105528,72013,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105529,72013,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
